Date,Open,High,Low,Close,Volume
20150728,26950,29100,26600,28050,1353050
20150727,27900,27950,27050,27300,519345
20150724,27700,28400,26800,28000,807668
20150723,28250,28700,27550,27600,692675
20150722,28400,29200,27900,28050,1168953
20150721,27350,29200,27100,28450,1857877
20150720,27100,30400,26600,28300,3754027
20150717,27450,27850,26300,27100,1318538
20150716,27700,28500,27000,27450,1372102
20150715,29800,29850,27750,28200,2023966
20150714,28300,30400,27750,29650,2849631
20150713,26300,28050,25500,27600,2037424
20150710,26550,27300,25800,25950,1469608
20150709,27000,27250,24500,26250,2506360
20150708,29650,30450,27450,27750,2242409
20150707,27550,32450,27200,29100,7742986
20150706,27600,30300,25450,26950,5658663
20150703,29950,30300,28400,28550,2521674
20150702,30500,31400,28500,30200,4579890
20150701,33250,33250,28000,30100,10371124
20150630,31400,34850,30000,33300,12734724
20150629,27450,27450,27450,27450,530518
20150626,16500,21150,16200,21150,5225005
20150625,14900,17350,14700,16300,5411985
20150624,15400,15550,14350,14950,2223273
20150623,16050,16100,15500,15600,1287195
20150622,15950,16600,15550,15850,1113422
20150619,15800,16050,15150,15800,1579533
20150618,16200,16650,15600,15650,1706237
20150617,15050,16850,14800,15700,3034533
20150616,16700,16700,14400,15250,4049099
20150615,16100,17500,15850,16750,2440101
20150612,16900,17350,15850,16250,3541408
20150611,17850,18950,16800,16850,3934633
20150610,18500,20300,17500,18250,8865828
20150609,15900,17950,15600,17950,6618764
20150608,16300,16600,14950,15650,4087314
20150605,16300,17400,15700,15950,4172835
20150604,17850,18100,16700,17400,6502468
20150603,16600,18550,14650,16700,23569526
20150602,20700,21400,17200,17200,14024912
20150601,19100,23350,18700,20200,14492993
20150529,20950,20950,19200,20950,9277624
20150528,18250,18250,18250,18250,107312
20150527,15100,15900,15100,15900,1729862
20150526,11600,13850,10800,13850,20945475
20150522,10300,12050,9990,12050,13742622
20150521,9420,10650,9270,10500,11930845
20150520,9740,10150,9060,9270,12005423
20150519,8980,9900,8740,9900,15460908
20150518,10300,10450,8550,8610,9658288
20150515,10750,10950,9970,10050,10577475
20150514,11550,12250,9510,10350,32544005
20150513,11050,13900,11050,11050,46887038
20150512,12950,12950,12950,12950,18887
20150511,15200,15200,15200,15200,24202
20150508,17850,17850,17850,17850,73995
20150507,21000,21000,21000,21000,67877
20150506,24650,24650,24650,24650,30449
20150504,29000,29000,29000,29000,26042
20150430,34100,34100,34100,34100,1068106
20150429,45000,45000,40100,40100,7339020
20150428,45400,52200,44650,47150,16805677
20150427,45400,45400,45400,45400,308380
20150424,53300,53300,53300,53300,216413
